,Código Departamento,Nombre Departamento,Área,Año,Hogares,Viviendas
319,23,Córdoba,Total,2015,476212,429340
320,23,Córdoba,Total,2016,494503,442240
321,23,Córdoba,Total,2017,514622,456965
322,23,Córdoba,Total,2018,537324,474274
323,23,Córdoba,Total,2019,553298,487172
324,23,Córdoba,Total,2020,569013,500074
325,23,Córdoba,Total,2021,583783,512346
326,23,Córdoba,Total,2022,598247,524510
327,23,Córdoba,Total,2023,612852,536925
328,23,Córdoba,Total,2024,626922,548950
329,23,Córdoba,Total,Unnamed: 0,27,27
330,25,Cundinamarca,Total,1993,454312,405335
331,25,Cundinamarca,Total,1994,455873,406653
332,25,Cundinamarca,Total,1995,458002,408491
333,25,Cundinamarca,Total,1996,460768,410918
334,25,Cundinamarca,Total,1997,464194,413962
335,25,Cundinamarca,Total,1998,468270,417627
336,25,Cundinamarca,Total,1999,473123,422039
337,25,Cundinamarca,Total,2000,478790,427253
338,25,Cundinamarca,Total,2001,485371,433383
339,25,Cundinamarca,Total,2002,492967,440549
340,25,Cundinamarca,Total,2003,501782,448973
341,25,Cundinamarca,Total,2004,512052,458910
342,25,Cundinamarca,Total,2005,523436,470134
343,25,Cundinamarca,Total,2006,537514,484036
344,25,Cundinamarca,Total,2007,554289,500736
345,25,Cundinamarca,Total,2008,574017,520529
346,25,Cundinamarca,Total,2009,596925,543673
347,25,Cundinamarca,Total,2010,623169,570351
348,25,Cundinamarca,Total,2011,652701,600534
349,25,Cundinamarca,Total,2012,685443,634131
350,25,Cundinamarca,Total,2013,721693,671369
351,25,Cundinamarca,Total,2014,761781,712486
352,25,Cundinamarca,Total,2015,806295,757952
353,25,Cundinamarca,Total,2016,856362,808761
354,25,Cundinamarca,Total,2017,912813,865647
355,25,Cundinamarca,Total,2018,977601,930435
356,25,Cundinamarca,Total,2019,1044682,997211
357,25,Cundinamarca,Total,2020,1111392,1063568
358,25,Cundinamarca,Total,2021,1171927,1123893
359,25,Cundinamarca,Total,2022,1226847,1178658
360,25,Cundinamarca,Total,2023,1280887,1232378
361,25,Cundinamarca,Total,2024,1337363,1288261
362,25,Cundinamarca,Total,Unnamed: 0,30,30
363,27,Chocó,Total,1993,52825,52005
364,27,Chocó,Total,1994,55883,54980
365,27,Chocó,Total,1995,58910,57942
366,27,Chocó,Total,1996,61999,60963
367,27,Chocó,Total,1997,65112,64007
368,27,Chocó,Total,1998,68335,67098
369,27,Chocó,Total,1999,71601,70285
370,27,Chocó,Total,2000,74988,73501
371,27,Chocó,Total,2001,78426,76764
372,27,Chocó,Total,2002,81865,80066
373,27,Chocó,Total,2003,85399,83485
374,27,Chocó,Total,2004,89054,87012
375,27,Chocó,Total,2005,92898,90688
376,27,Chocó,Total,2006,96846,94480
377,27,Chocó,Total,2007,100831,98284
378,27,Chocó,Total,2008,104862,102105
379,27,Chocó,Total,2009,109010,106039
380,27,Chocó,Total,2010,113240,110031
381,27,Chocó,Total,2011,117636,114150
382,27,Chocó,Total,2012,122245,118438
383,27,Chocó,Total,2013,127126,122964
384,27,Chocó,Total,2014,132271,127718
385,27,Chocó,Total,2015,137809,132821
386,27,Chocó,Total,2016,143653,138204
387,27,Chocó,Total,2017,149877,143930
388,27,Chocó,Total,2018,156425,149951
389,27,Chocó,Total,2019,161035,154152
390,27,Chocó,Total,2020,165699,158406
391,27,Chocó,Total,2021,170294,162602
392,27,Chocó,Total,2022,174877,166796
393,27,Chocó,Total,2023,179373,170917
394,27,Chocó,Total,2024,183837,175022
395,27,Chocó,Total,Unnamed: 0,33,33
396,41,Huila,Total,1993,173213,160182
397,41,Huila,Total,1994,179739,166306
398,41,Huila,Total,1995,186105,172294
399,41,Huila,Total,1996,192320,178153
400,41,Huila,Total,1997,198366,183868
401,41,Huila,Total,1998,204226,189423
402,41,Huila,Total,1999,209901,194820
403,41,Huila,Total,2000,215393,200059
404,41,Huila,Total,2001,220754,205190
405,41,Huila,Total,2002,225959,210188
406,41,Huila,Total,2003,231126,215164
407,41,Huila,Total,2004,236291,220151
408,41,Huila,Total,2005,241609,225294
409,41,Huila,Total,2006,247022,230538
410,41,Huila,Total,2007,252608,235957
411,41,Huila,Total,2008,258357,241539
412,41,Huila,Total,2009,264388,247400
413,41,Huila,Total,2010,270725,253558
414,41,Huila,Total,2011,277418,260063
415,41,Huila,Total,2012,284434,266883
416,41,Huila,Total,2013,291804,274046
417,41,Huila,Total,2014,299638,281658
418,41,Huila,Total,2015,308019,289795
419,41,Huila,Total,2016,317088,298590
420,41,Huila,Total,2017,326898,308093
421,41,Huila,Total,2018,337764,318602
422,41,Huila,Total,2019,346048,326692
423,41,Huila,Total,2020,354477,334925
424,41,Huila,Total,2021,362828,343089
425,41,Huila,Total,2022,371269,351340
426,41,Huila,Total,2023,379803,359682
427,41,Huila,Total,2024,386986,366740
428,41,Huila,Total,Unnamed: 0,36,36
429,44,La Guajira,Total,1993,90698,81261
430,44,La Guajira,Total,1994,93751,83993
431,44,La Guajira,Total,1995,96738,86682
432,44,La Guajira,Total,1996,99638,89312
433,44,La Guajira,Total,1997,102496,91933
434,44,La Guajira,Total,1998,105376,94620
435,44,La Guajira,Total,1999,108209,97335
436,44,La Guajira,Total,2000,111016,100118
437,44,La Guajira,Total,2001,113799,103000
438,44,La Guajira,Total,2002,116631,106048
439,44,La Guajira,Total,2003,119622,109326
440,44,La Guajira,Total,2004,122874,112858
441,44,La Guajira,Total,2005,126531,116720
442,44,La Guajira,Total,2006,130805,121096
443,44,La Guajira,Total,2007,135621,125932
444,44,La Guajira,Total,2008,141017,131284
445,44,La Guajira,Total,2009,146997,137177
446,44,La Guajira,Total,2010,153597,143655
447,44,La Guajira,Total,2011,160771,150679
448,44,La Guajira,Total,2012,168595,158317
449,44,La Guajira,Total,2013,177193,166676
450,44,La Guajira,Total,2014,186566,175749
451,44,La Guajira,Total,2015,196960,185760
452,44,La Guajira,Total,2016,209113,197399
453,44,La Guajira,Total,2017,223523,211134
454,44,La Guajira,Total,2018,242431,229080
455,44,La Guajira,Total,2019,261180,246878
456,44,La Guajira,Total,2020,278284,263124
457,44,La Guajira,Total,2021,291590,275760
458,44,La Guajira,Total,2022,303130,286706
459,44,La Guajira,Total,2023,314732,297699
460,44,La Guajira,Total,2024,325347,307773
461,44,La Guajira,Total,Unnamed: 0,39,39
462,47,Magdalena,Total,1993,174464,162820
463,47,Magdalena,Total,1994,181575,169471
464,47,Magdalena,Total,1995,188477,175931
465,47,Magdalena,Total,1996,195283,182305
466,47,Magdalena,Total,1997,201935,188535
467,47,Magdalena,Total,1998,208362,194559
468,47,Magdalena,Total,1999,214653,200456
469,47,Magdalena,Total,2000,220774,206195
470,47,Magdalena,Total,2001,226791,211825
471,47,Magdalena,Total,2002,232610,217272
472,47,Magdalena,Total,2003,238558,222833
473,47,Magdalena,Total,2004,244560,228435
474,47,Magdalena,Total,2005,250730,234183
475,47,Magdalena,Total,2006,257142,240144
476,47,Magdalena,Total,2007,263699,246223
477,47,Magdalena,Total,2008,270389,252405
478,47,Magdalena,Total,2009,277328,258799
479,47,Magdalena,Total,2010,284474,265361
480,47,Magdalena,Total,2011,291867,272126
481,47,Magdalena,Total,2012,299547,279135
482,47,Magdalena,Total,2013,307658,286519
483,47,Magdalena,Total,2014,316179,294265
484,47,Magdalena,Total,2015,325340,302590
485,47,Magdalena,Total,2016,335780,312091
486,47,Magdalena,Total,2017,347769,323028
487,47,Magdalena,Total,2018,363207,337167
488,47,Magdalena,Total,2019,380197,353009
489,47,Magdalena,Total,2020,395659,367434
490,47,Magdalena,Total,2021,407719,378696
491,47,Magdalena,Total,2022,418169,388462
492,47,Magdalena,Total,2023,428550,398163
493,47,Magdalena,Total,2024,438096,407107
494,47,Magdalena,Total,Unnamed: 0,42,42
495,50,Meta,Total,1993,124472,112811
