,Código Departamento,Nombre Departamento,Área,Año,Viviendas
972,50,Meta,Total,2021,350553
1005,50,Meta,Total,2022,359027
1038,50,Meta,Total,2023,367498
1071,50,Meta,Total,2024,375858
15,50,Meta,Total,Unnamed: 0,45
49,52,Nariño,Total,1993,249726
82,52,Nariño,Total,1994,259460
115,52,Nariño,Total,1995,268885
148,52,Nariño,Total,1996,277933
181,52,Nariño,Total,1997,286607
214,52,Nariño,Total,1998,294915
247,52,Nariño,Total,1999,302860
280,52,Nariño,Total,2000,310694
313,52,Nariño,Total,2001,318270
346,52,Nariño,Total,2002,325596
379,52,Nariño,Total,2003,332923
412,52,Nariño,Total,2004,340412
445,52,Nariño,Total,2005,348175
478,52,Nariño,Total,2006,356383
511,52,Nariño,Total,2007,364698
544,52,Nariño,Total,2008,373040
577,52,Nariño,Total,2009,381569
610,52,Nariño,Total,2010,390565
643,52,Nariño,Total,2011,400165
676,52,Nariño,Total,2012,410380
709,52,Nariño,Total,2013,421227
742,52,Nariño,Total,2014,432929
775,52,Nariño,Total,2015,445799
808,52,Nariño,Total,2016,459826
841,52,Nariño,Total,2017,474937
874,52,Nariño,Total,2018,492200
907,52,Nariño,Total,2019,501275
940,52,Nariño,Total,2020,510526
973,52,Nariño,Total,2021,520377
1006,52,Nariño,Total,2022,531025
1039,52,Nariño,Total,2023,541996
1072,52,Nariño,Total,2024,552072
16,52,Nariño,Total,Unnamed: 0,48
50,54,Norte De Santander,Total,1993,229447
83,54,Norte De Santander,Total,1994,236857
116,54,Norte De Santander,Total,1995,244094
149,54,Norte De Santander,Total,1996,251142
182,54,Norte De Santander,Total,1997,257962
215,54,Norte De Santander,Total,1998,264582
248,54,Norte De Santander,Total,1999,270987
281,54,Norte De Santander,Total,2000,277213
314,54,Norte De Santander,Total,2001,283241
347,54,Norte De Santander,Total,2002,289122
380,54,Norte De Santander,Total,2003,294890
413,54,Norte De Santander,Total,2004,300705
446,54,Norte De Santander,Total,2005,306772
479,54,Norte De Santander,Total,2006,312953
512,54,Norte De Santander,Total,2007,319337
545,54,Norte De Santander,Total,2008,325909
578,54,Norte De Santander,Total,2009,332714
611,54,Norte De Santander,Total,2010,339752
644,54,Norte De Santander,Total,2011,346957
677,54,Norte De Santander,Total,2012,354353
710,54,Norte De Santander,Total,2013,362028
743,54,Norte De Santander,Total,2014,369934
776,54,Norte De Santander,Total,2015,378342
809,54,Norte De Santander,Total,2016,388403
842,54,Norte De Santander,Total,2017,400593
875,54,Norte De Santander,Total,2018,418508
908,54,Norte De Santander,Total,2019,442310
941,54,Norte De Santander,Total,2020,462636
974,54,Norte De Santander,Total,2021,476010
1007,54,Norte De Santander,Total,2022,486377
1040,54,Norte De Santander,Total,2023,496706
1073,54,Norte De Santander,Total,2024,507373
17,54,Norte De Santander,Total,Unnamed: 0,51
51,63,Quindío,Total,1993,111382
84,63,Quindío,Total,1994,114879
117,63,Quindío,Total,1995,118252
150,63,Quindío,Total,1996,121472
183,63,Quindío,Total,1997,124507
216,63,Quindío,Total,1998,127357
249,63,Quindío,Total,1999,129954
282,63,Quindío,Total,2000,132313
315,63,Quindío,Total,2001,134444
348,63,Quindío,Total,2002,136391
381,63,Quindío,Total,2003,138226
414,63,Quindío,Total,2004,140024
447,63,Quindío,Total,2005,141937
480,63,Quindío,Total,2006,143816
513,63,Quindío,Total,2007,145770
546,63,Quindío,Total,2008,147792
579,63,Quindío,Total,2009,149957
612,63,Quindío,Total,2010,152389
645,63,Quindío,Total,2011,155040
678,63,Quindío,Total,2012,157788
711,63,Quindío,Total,2013,160581
744,63,Quindío,Total,2014,163558
777,63,Quindío,Total,2015,166864
